Index,emissions/y,COMMUNITY,EARLY USER,CORE TEAM,INVESTORS,EMPLOYEES,RESERVE,TOTAL CIRC SUPPLY
87,92.66078480863622,1727272239.1523259,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302542.0523257
88,77.91812178017805,1727272317.0704477,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302619.9704475
89,65.52106928825411,1727272382.5915172,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302685.491517
90,55.09643228808313,1727272437.6879492,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302740.5879493
91,274815286.0,1727272484.0183415,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302786.9183416
92,38.959060890089035,1727272522.9774027,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302825.877403
93,32.76053464412706,1727272555.7379372,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302858.637937
94,274815285.0,1727272036.2986765,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302339.1986766
95,23.165196202159066,1727272606.4513495,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302909.3513494
96,19.47953044504452,1727272625.93088,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302928.83088
97,16.380267322063535,1727272642.3111475,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302945.2111473
98,13.77410807202079,1727272656.0852556,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302958.9852557
99,274815286.0,1727272667.6678536,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302970.5678535
100,9.739765222522262,1727272677.4076185,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302980.3076186
101,8.19013366103177,1727272685.5977526,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302988.4977527
102,6.887054036010396,1727272692.4848065,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302995.3848066
103,5.791299050539768,1727272698.2761056,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303001.1761055
104,274815287.0,1727272703.145988,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303006.045988
105,4.0950668305158855,1727272707.2410553,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303010.141055
106,3.4435270180051987,1727272710.6845818,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303013.584582
107,2.895649525269885,1727272713.5802317,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303016.480232
108,274815284.0,1727272716.015173,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303018.915173
109,274815284.0,1727272677.4076185,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302980.3076186
110,1.7217635090025996,1727272719.7844696,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303022.6844697
111,1.4478247626349428,1727272721.2322946,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303024.1322947
112,1.2174706528152837,1727272722.4497652,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303025.3497653
113,1.0237667076289718,1727272723.473532,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303026.373532
114,274815287.0,1727272724.3344138,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303027.2344136
115,0.7239123813174716,1727272725.058326,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303027.958326
116,0.6087353264076419,1727272725.667061,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303028.567061
117,274815286.0,1727272716.015173,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303018.915173
118,0.43044087725065017,1727272726.6093857,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303029.5093856
119,0.36195619065873585,1727272726.9713418,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303029.8713417
120,0.3043676632038211,1727272727.2757094,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030303030.1757092
